Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
4675000,3.8273919,0.20696351,962.4,2.75,2.75,0.0027823201,0.06684237,0.00027196025,1.0
4680000,3.8584137,0.24386467,902.4,1.9166666666666667,1.9166666666666667,0.0033028407,0.06756959,0.00027193525,1.0
4685000,3.8890955,0.22331436,680.25,1.25,1.25,0.00410415,0.06909127,0.0002719037,1.0
4690000,3.8279788,0.20364717,799.0,1.1,1.1,0.0051455926,0.06492732,0.0002718724,1.0
4695000,3.762412,0.2515056,902.4,2.7,2.7,0.0042800326,0.06331642,0.00027184747,1.0
4700000,3.9419641,0.24451566,863.2857142857143,2.0714285714285716,2.0714285714285716,0.0042805416,0.06446991,0.00027181636,1.0
4705000,3.8370826,0.28894374,905.6,2.9,2.9,0.002329727,0.06450346,0.00027178507,1.0
4710000,3.801757,0.30339015,758.5714285714286,2.4285714285714284,2.4285714285714284,0.004839054,0.065837435,0.00027175387,1.0
4715000,3.879499,0.2664221,832.3333333333334,2.0833333333333335,2.0833333333333335,0.0017643382,0.06707621,0.00027172244,1.0
4720000,3.8854175,0.27104732,782.3333333333334,2.25,2.25,0.0017125385,0.070245296,0.00027169747,1.0
4725000,3.991343,0.24282493,701.0,1.625,1.625,0.004119901,0.068517,0.00027166645,1.0
4730000,3.9685879,0.27503142,743.5,1.75,1.75,0.0029958459,0.07401112,0.00027163525,1.0
4735000,4.047373,0.25271174,935.1666666666666,2.5833333333333335,2.5833333333333335,0.004136315,0.06849887,0.00027160393,1.0
4740000,3.9853125,0.28418133,872.2,2.2,2.2,0.0029275855,0.06789742,0.00027157267,1.0
4745000,4.11468,0.1958751,765.7142857142857,1.0,1.0,0.0032249074,0.05703353,0.00027154776,1.0
4750000,3.9903836,0.22975461,945.6,2.4,2.4,0.0035434093,0.07142625,0.00027151662,1.0
4755000,4.0382094,0.26222444,793.5,2.5,2.5,0.0023006683,0.06535929,0.0002714853,1.0
4760000,3.9907331,0.21638529,1025.6,2.0,2.0,0.0033558847,0.07192088,0.0002714541,1.0
4765000,3.956279,0.24557146,763.2857142857143,2.0,2.0,0.0058377283,0.06878412,0.000271423,1.0
4770000,3.9048188,0.25907892,740.6666666666666,1.5833333333333333,1.5833333333333333,0.0033264752,0.06775819,0.000271398,1.0
4775000,3.821382,0.26520714,749.0,1.4285714285714286,1.4285714285714286,0.006692914,0.06687463,0.0002713668,1.0
4780000,3.8365698,0.23805614,775.2857142857143,1.7142857142857142,1.7142857142857142,0.008147298,0.057124414,0.00027133577,1.0
4785000,3.7874618,0.27406868,872.2,2.6,2.6,0.0019949102,0.07187534,0.00027130486,1.0
4790000,3.8608563,0.27191386,957.3333333333334,2.8333333333333335,2.8333333333333335,0.0017142827,0.07395474,0.00027127372,1.0
4795000,3.9469306,0.2247689,860.1666666666666,1.75,1.75,0.002770492,0.07463821,0.00027124255,1.0
4800000,3.8756375,0.22872208,826.8333333333334,2.5,2.5,0.0023017311,0.06867801,0.0002712113,1.0
4805000,3.8187983,0.29883814,909.0,3.4,3.4,0.0010131185,0.064820684,0.00027118635,1.0
4810000,3.894234,0.2568229,854.5,2.3333333333333335,2.3333333333333335,0.0017166032,0.071960114,0.00027115524,1.0
4815000,3.7883027,0.319724,1211.5,4.0,4.0,0.0014409567,0.07815779,0.00027112392,1.0
4820000,3.7714512,0.2511324,789.4285714285714,1.9285714285714286,1.9285714285714286,0.0017948509,0.07519562,0.00027109272,1.0
4825000,3.8172479,0.27477628,849.0,2.6,2.6,0.0018253297,0.06593575,0.00027106144,1.0
4830000,3.9039588,0.24088445,787.1428571428571,1.7857142857142858,1.7857142857142858,0.0050827856,0.07398667,0.00027103658,1.0
4835000,3.870128,0.23712097,732.3333333333334,1.5833333333333333,1.5833333333333333,0.00477715,0.073954314,0.0002710054,1.0
4840000,3.8925152,0.27404273,885.1666666666666,2.6666666666666665,2.6666666666666665,0.0016522664,0.0697823,0.00027097424,1.0
4845000,3.8823774,0.28688815,926.6666666666666,2.6,2.6,0.0035400332,0.06805742,0.00027094284,1.0
4850000,3.920801,0.30730343,829.0,2.6666666666666665,2.6666666666666665,0.0015610491,0.06268282,0.00027091132,1.0
4855000,4.017624,0.26342115,879.6666666666666,2.0,2.0,0.0022975309,0.06827336,0.0002708863,1.0
4860000,3.969413,0.2961866,753.7142857142857,2.2142857142857144,2.2142857142857144,0.0021168015,0.07068092,0.00027085503,1.0
4865000,3.9368105,0.2582945,1059.0,2.125,2.125,0.0038453336,0.07538478,0.00027082374,1.0
